model,prompt_style,persona_id,is_correct,expected_ticket,recommended_ticket,explanation,factual_correctness,logical_clarity,approved_recommendation,comment
gemini-2.5-pro-preview-03-25,persona+examples,casual_traveler,True,"{'name': 'Single ticket', 'category': 'adult', 'number_of_zones': 1}","{'name': 'Single ticket', 'category': 'adult', 'number_of_zones': 1}","Hei! Siden du er 37 år gammel, faller du inn under kategorien 'voksen' (20 til 66 år). Når du reiser såpass sjelden som du beskriver – kun av og til når været er dårlig – vil det mest lønnsomme for deg være å kjøpe enkeltbilletter for hver tur. En enkeltbillett for voksne i én sone koster 45 kroner.

Periodiske billetter, som 7-dagersbillett (315 kr) eller 30-dagersbillett (926 kr), vil ikke lønne seg med mindre du reiser svært ofte. For eksempel må du ta bussen mer enn 7 ganger i løpet av en uke for at 7-dagersbilletten skal lønne seg, eller mer enn 20 ganger i måneden for at 30-dagersbilletten skal lønne seg (926 / 45 ≈ 20.6 turer).

Enkeltbilletten er gyldig i 90 minutter i én sone fra du aktiverer den (eller opptil 3 timer hvis den aktiveres etter kl. 18:00 på hverdager eller når som helst i helgene). Dette betyr at du kan bytte buss eller trikk innenfor sonen så lenge billetten er gyldig. Reiser du innenfor sone A, kan billetten også brukes på toget.

Et alternativ kan være Klippekort buss. Det koster 450 kroner for 10 turer i én sone, noe som gir samme pris per tur som en enkeltbillett (45 kroner). Fordelen er at du slipper å kjøpe billett hver gang, men det gir ingen prisreduksjon. For svært sporadisk reise er enkeltbilletten ofte det enkleste.

Et lite tips: Du kan enkelt kjøpe enkeltbilletter i AtB-appen rett før du skal reise. Da slipper du å tenke på det når bussen kommer.",,,,
gemini-2.5-pro-preview-03-25,persona+examples,visitor_day_trip,True,"{'name': 'Single ticket', 'category': 'adult', 'number_of_zones': 2}","{'name': 'Single ticket', 'category': 'adult', 'number_of_zones': 2}","Hei! Siden du er 29 år gammel, faller du inn under kategorien 'voksen', som gjelder for personer mellom 20 og 66 år. For sporadiske reiser 1-2 ganger i måneden innenfor 2 soner, er det mest hensiktsmessige og rimeligste alternativet å kjøpe en enkeltbillett for hver tur.

En enkeltbillett for voksne i 2 soner koster 90 NOK. Dette passer godt for deg som reiser sjelden, da du kun betaler for de turene du faktisk tar. Månedskostnaden din vil da ligge på 90-180 NOK, avhengig av om du reiser én eller to ganger.

Periodiske billetter som 7-dagers eller 30-dagersbillett (som koster 630 NOK og 1230 NOK for 2 soner) vil være betydelig dyrere med ditt reisemønster. Enkeltbilletten er gyldig for hele reisen din så lenge den er gyldig når du går om bord på bussen (eller trikk/tog i sone A). Billetten er ikke gyldig på nattbuss.

Et alternativ kan være Klippekort for buss. For 2 soner koster dette 900 NOK og gir deg 10 enkeltreiser (90 NOK per reise). Dette gir ingen prisbesparelse sammenlignet med enkeltbilletter, men kan være praktisk hvis du foretrekker å kjøpe flere turer samlet og slippe å kjøpe billett hver gang. Klippekortet er heller ikke gyldig på nattbuss.",,,,
gemini-2.5-pro-preview-03-25,persona+examples,casual_traveler_student,True,"{'name': '180-day ticket', 'category': 'student', 'number_of_zones': 1}","{'name': '180-day ticket', 'category': 'student', 'number_of_zones': 1}","Hei! Siden du er 20 år gammel og student, faller du inn under studentkategorien (studenter under 35 år). Husk at du må ha med gyldig studentbevis når du reiser på studentbillett.

Du reiser ganske sjelden, omtrent én tur-retur til sentrum per uke (ca. 8 turer i måneden) og én nattbusstur i måneden, alt innenfor én sone. La oss se på kostnadene:

*   **Enkeltbilletter:** En enkeltbillett for student koster 45 kr. For 8 turer blir det 360 kr. Enkeltbilletter er *ikke* gyldige på nattbussen. For nattbussen trenger du en egen nattbillett (""Natt 1"") som koster 120 kr. Total månedlig kostnad blir da omtrent 360 kr + 120 kr = 480 kr.
*   **30-dagersbillett (Student):** Denne koster 555 kr for én sone. Den inkluderer nattbuss og ubegrenset reise, men er dyrere enn å kjøpe enkeltbilletter og nattbillett basert på ditt nåværende reisebehov.
*   **180-dagersbillett (Student):** Denne koster 2775 kr for én sone, som tilsvarer 462,50 kr per måned i gjennomsnitt. Dette er litt billigere enn å kjøpe enkeltbilletter og nattbillett (480 kr/måned).

Basert på dette anbefaler jeg **180-dagersbilletten for studenter**. Selv om du reiser sjelden, blir den gjennomsnittlige månedskostnaden litt lavere enn å kjøpe enkeltbilletter og nattbillett. I tillegg gir den deg stor fleksibilitet med ubegrenset antall reiser, den inkluderer nattbuss (så du slipper å tenke på egen billett for det), og du får også tilgang til bysykler fra Trondheim Bysykkel og 2 timer gratis leiebil fra Hyre hver måned. Dette gir deg mer verdi og bekymringsfri reise.

**Alternativ:** Du kan kjøpe enkeltbilletter for dagsturene og en Natt 1-billett for nattbussreisen. Dette krever mindre penger på én gang, men den totale månedlige kostnaden blir sannsynligvis litt høyere (ca. 480 kr), og du går glipp av fordelene som periodebilletten gir. Om du reiser bare én ekstra tur i måneden, vil 180-dagersbilletten lønne seg.

**Tips:** Husk gyldig studentbevis! Billetten din er gyldig på buss, og hvis du reiser innenfor sone A, kan den også brukes på trikk og tog.",,,,
gemini-2.5-pro-preview-03-25,persona+examples,casual_traveler_student,False,"{'name': '180-day ticket', 'category': 'student', 'number_of_zones': 1}","{'name': '30-day ticket', 'category': 'student', 'number_of_zones': 1}","Hei! Siden du er 20 år og student, faller du inn under studentkategorien (studenter under 35 år). Husk at du må ha med gyldig studentbevis når du reiser med studentbillett.

Du reiser ca. én gang i uken (tur/retur) pluss nattbuss én gang i måneden, alt innenfor én sone. La oss se på alternativene:

1.  **Enkeltbilletter:** En enkeltbillett for studenter i én sone koster 45 kr (samme som voksen). Med ca. 8 turer i måneden blir dette 360 kr. Enkeltbilletter gjelder *ikke* på nattbussen, så du måtte kjøpt en egen nattbussbillett (Natt 1) til 120 kr. Total kostnad per måned ville vært rundt 480 kr.
2.  **30-dagers studentbillett:** Denne koster 555 kr for én sone. Den gir deg ubegrenset reise innenfor sonen, og inkluderer også nattbuss. 

Selv om enkeltbilletter kombinert med en nattbussbillett teknisk sett er litt billigere (480 kr vs 555 kr) basert på *minimumsreisingen* du beskriver, anbefaler jeg **30-dagers studentbillett**. Forskjellen er bare 75 kr per måned, og 30-dagersbilletten gir deg mye mer verdi:
*   **Nattbuss inkludert:** Du slipper å kjøpe en separat og dyr billett (120 kr) de gangene du tar nattbussen.
*   **Ubegrenset reise:** Du kan ta bussen så mye du vil innenfor sonen, uten å tenke på ekstra kostnader. Tar du bare én ekstra tur/retur i løpet av måneden, blir 30-dagersbilletten billigere enn enkeltbilletter.
*   **Inkluderte tjenester:** Du får også tilgang til Trondheim Bysykkel og 2 timer gratis leiebil fra Hyre hver måned.
*   **Enkelhet:** Du trenger bare én billett for hele måneden.

**Alternativ:** Hvis du er helt sikker på at du *kun* reiser eksakt én tur/retur per uke og én nattbusstur per måned, og ønsker å spare de 75 kronene, kan du kjøpe enkeltbilletter for dagsturene og en separat Natt 1-billett for nattbussen. Men 30-dagersbilletten gir mer fleksibilitet og trygghet.

**Tips:** Husk gyldig studentbevis! Billetten din er gyldig på både buss og trikk (og tog innenfor sone A).",,,,
gemini-2.5-pro-preview-03-25,persona+examples,short_term_tourist,True,"{'name': '24-hour ticket', 'category': 'adult', 'number_of_zones': 1}","{'name': '24-hour ticket', 'category': 'adult', 'number_of_zones': 1}","Siden du er 45 år gammel, faller du inn under kategorien 'voksen' (20 til 66 år). For en dag med hyppig reising innenfor én sone, er 24-timersbilletten det beste alternativet for deg. Den koster 135 NOK for voksne i én sone og gir deg ubegrenset reise med buss i 24 timer fra du aktiverer den. Dette vil sannsynligvis være rimeligere enn å kjøpe flere enkeltbilletter, som koster 45 NOK per tur. Allerede ved tre turer i løpet av dagen vil 24-timersbilletten lønne seg. Billetten er gyldig for hele reisen så lenge den er gyldig ved påstigning. Reiser du innenfor sone A, kan billetten også brukes på trikk og tog. Et alternativ kan være enkeltbilletter hvis du ender opp med å reise svært lite (kun én eller to turer), men siden du planlegger å reise ofte, gir 24-timersbilletten best verdi og mest fleksibilitet for å se Trondheim. Husk å aktivere billetten ved første påstigning.",,,,
gemini-2.5-pro-preview-03-25,persona+examples,conference_attendee,True,"{'name': '24-hour ticket', 'category': 'adult', 'number_of_zones': 1}","{'name': '24-hour ticket', 'category': 'adult', 'number_of_zones': 1}","Hei! Siden du er 50 år gammel, tilhører du voksenkategorien (20-66 år). For en dag med flere reiser innenfor én sone, slik du beskriver med transport mellom hotell, konferanse og kveldsarrangementer, vil en 24-timersbillett for voksne være det mest praktiske og sannsynligvis rimeligste alternativet. Den koster 135 NOK og gir deg ubegrenset antall reiser i 24 timer fra du aktiverer den. Til sammenligning koster en enkeltbillett 45 NOK per tur. Med tre eller flere turer i løpet av dagen, sparer du penger med en 24-timersbillett. Billetten er gyldig på buss, og hvis du reiser innenfor sone A (som dekker store deler av Trondheim), er den også gyldig på trikk og tog. Husk at den ikke er gyldig på nattbuss eller nattrikk. Et alternativ er å kjøpe enkeltbilletter til 45 NOK per stykk, men dette vil kun lønne seg dersom du ender opp med å reise kun én eller to ganger i løpet av dagen. God konferanse!",,,,
gemini-2.5-pro-preview-03-25,persona+examples,short_term_worker,True,"{'name': '7-day ticket', 'category': 'adult', 'number_of_zones': 1}","{'name': '7-day ticket', 'category': 'adult', 'number_of_zones': 1}","Siden du er 34 år gammel, faller du inn under kategorien 'Voksen' (20 til 66 år). For en ukes opphold med behov for å reise fritt innenfor én sone, er 7-dagersbilletten det klart beste alternativet for deg. Den koster 315 NOK og gir deg ubegrenset reise med buss (og trikk/tog i sone A) i syv sammenhengende dager. Dette er rimeligere enn å kjøpe enkeltbilletter hvis du reiser mer enn et par ganger om dagen (en enkeltbillett koster 45 NOK, så 7 turer koster det samme som ukesbilletten), og det er også billigere enn å kjøpe flere 24-timersbilletter (som koster 135 NOK per stykk). Med 7-dagersbilletten får du også tilgang til Trondheim Bysykkel og to timer gratis Hyre bilutleie per måned. Vær oppmerksom på at nattbuss og nattrikk ikke er inkludert for kategorien Voksen. Et alternativ kunne vært å kjøpe enkeltbilletter hvis du vet at du kun skal reise noen få ganger i løpet av uken (færre enn 7 turer totalt), men for å reise fritt er 7-dagersbilletten mest praktisk og lønnsom.",,,,
gemini-2.5-pro-preview-03-25,persona+examples,4_day_traveler,True,"{'name': '7-day ticket', 'category': 'adult', 'number_of_zones': 2}","{'name': '7-day ticket', 'category': 'adult', 'number_of_zones': 2}","Hei! Siden du er 28 år gammel, faller du inn under kategorien 'voksen' (20 til 66 år). For ditt 4-dagers besøk med daglige reiser tur/retur innenfor 2 soner (totalt 8 turer), vil en 7-dagersbillett for voksne i 2 soner være det mest gunstige alternativet. Den koster 630 NOK.

Å kjøpe enkeltbilletter ville kostet 90 NOK per tur for 2 soner, totalt 720 NOK for de 8 turene du planlegger. 7-dagersbilletten er derfor rimeligere enn å kjøpe enkeltbilletter. I tillegg gir 7-dagersbilletten deg ubegrenset reise innenfor de to sonene i hele 7 dager, noe som gir fleksibilitet hvis du skulle trenge å reise mer enn bare til og fra arrangementet. Billetten er gyldig på buss, og også på trikk/tog i sone A hvis du reiser der. Vær oppmerksom på at 7-dagersbilletten for voksne ikke er gyldig på nattbuss/natrikk. Som en ekstra fordel inkluderer periodbilletter som denne også 2 timer gratis leiebil fra Hyre hver måned og gratis bruk av bysykler fra Trondheim Bysykkel, selv om dette kanskje er mindre relevant for et kort besøk.

Alternativt kan du kjøpe enkeltbilletter hvis du er helt sikker på at du kun skal reise de 8 turene, men dette vil som sagt bli dyrere totalt sett.",,,,
gemini-2.5-pro-preview-03-25,persona+examples,fadderuke_student,True,"{'name': '30-day ticket', 'category': 'student', 'number_of_zones': 1}","{'name': '30-day ticket', 'category': 'student', 'number_of_zones': 1}","Hei! Som 20 år gammel student faller du inn under studentkategorien (studenter under 35 år med gyldig studentbevis). Husk at du må ha med gyldig studentbevis når du reiser med studentbillett.

For den resterende fadderuken din, hvor du bruker bussen og nattbussen mye innenfor én sone, vil den mest gunstige billetten for deg være **30-dagersbilletten for studenter**. 

Her er hvorfor:
*   **Dekker alle behov:** Billetten koster 555 NOK for én sone og gir deg ubegrenset reise med både vanlig buss og nattbuss i 30 dager.
*   **Kostnadseffektivt:** Selv om du bare trenger billetten for omtrent en uke til, er dette sannsynligvis billigere enn å kjøpe enkeltbilletter. En enkeltbillett for student koster 45 NOK, og en nattbussbillett (Natt 1) koster 120 NOK per tur. Hvis du tar nattbussen bare et par ganger i tillegg til vanlig buss på dagtid, vil kostnaden for enkeltbilletter fort overstige prisen på en 30-dagersbillett. For eksempel vil 4 vanlige turer tur/retur (8 turer * 45 NOK = 360 NOK) pluss 2 turer med nattbussen (2 * 120 NOK = 240 NOK) koste totalt 600 NOK.
*   **Enkelhet:** Du slipper å tenke på å kjøpe ny billett for hver tur, spesielt sent på kvelden.

Billetten inkluderer også fordeler som gratis bruk av Trondheim Bysykkel og 2 timer gratis leiebil fra Hyre hver måned. Reisen din er dekket så lenge billetten er gyldig når du går om bord. Reiser du innenfor sone A, kan billetten også brukes på trikk og tog.

**Alternativ:** Du kan kjøpe enkeltbilletter (45 NOK) for dagreiser og Natt 1-billetter (120 NOK) for nattbuss, men dette blir fort dyrt hvis du reiser ofte, spesielt med nattbussen slik du beskriver.

**Tips:** Du kan enkelt kjøpe 30-dagersbilletten i AtB-appen.",,,,
gemini-2.5-pro-preview-03-25,persona+examples,daily_commuter,True,"{'name': '30-day ticket', 'category': 'adult', 'number_of_zones': 1}","{'name': '30-day ticket', 'category': 'adult', 'number_of_zones': 1}","Hei! Siden du er 40 år gammel, faller du inn under kategorien 'voksen' (20 til 66 år). For daglig pendling til jobb innenfor én sone, fem dager i uken, vil en periodebillett være det mest lønnsomme alternativet.

Enkeltbilletter koster 45 kr per tur, noe som vil utgjøre omtrent 1935 kr per måned for daglig reise (to turer per dag, ca. 21,5 arbeidsdager i måneden). En 30-dagersbillett for voksne i én sone koster 926 kr. Denne gir deg ubegrenset reise innenfor sonen i 30 dager.

Siden du nevner at situasjonen din kan endre seg senere i år, anbefaler jeg 30-dagersbilletten. Den gir deg god verdi for pengene for din nåværende pendling, samtidig som den gir fleksibilitet med en kortere bindingstid enn lengre periodebilletter.

Som et alternativ, hvis du tror pendlingen din vil være stabil i minst seks måneder, kan du vurdere 180-dagersbilletten. Den koster 4630 kr, som tilsvarer ca. 772 kr per måned. Dette er den mest økonomiske løsningen per måned for hyppige reisende, og du ville spart rundt 154 kr per måned sammenlignet med 30-dagersbilletten. Både 30-dagers og 180-dagersbilletten inkluderer fordeler som ubegrenset reise, to timer gratis Hyre bilutleie per måned, og gratis tilgang til Trondheim Bysykkel. Merk at nattbuss ikke er inkludert for voksne med periodebillett. Billetten er gyldig på buss, og også på trikk og tog innenfor sone A.",,,,
gemini-2.5-pro-preview-03-25,persona+examples,daily_commuter,False,"{'name': '30-day ticket', 'category': 'adult', 'number_of_zones': 1}","{'name': '180-day ticket', 'category': 'adult', 'number_of_zones': 1}","Hei! Siden du er 40 år gammel, faller du inn under kategorien 'Voksen' (20 til 66 år). Med daglig reise til jobb (5 dager i uken) innenfor én sone, blir enkeltbilletter fort dyrt. To turer per dag, fem dager i uken, vil koste omtrent 1800 kr per måned med enkeltbilletter (45 kr per tur).

Den mest kostnadseffektive løsningen for deg er derfor en periodebillett. En 180-dagersbillett for voksne i én sone koster 4630 kr. Fordelt over 6 måneder blir dette omtrent 772 kr per måned. Dette er rimeligere enn en 30-dagersbillett, som koster 926 kr per måned.

Med 180-dagersbilletten får du ubegrenset reise innenfor sonen din i seks måneder. Billetten inkluderer også fordeler som 2 timer gratis leiebil fra Hyre hver måned og gratis tilgang til Trondheim Bysykkel. Billetten er gyldig på buss, og trikk/tog innenfor sone A. Vær oppmerksom på at nattbuss ikke er inkludert for voksenkategorien på periodebilletter.

Selv om du nevner at situasjonen din kan endre seg, er 180-dagersbilletten det billigste alternativet per måned gitt ditt nåværende reisebehov med daglig pendling.

**Alternativ:** Hvis du foretrekker en lavere engangskostnad eller er usikker på om du vil pendle daglig i hele seks måneder, kan en **30-dagersbillett** til 926 kr være et godt alternativ. Den gir samme reisefordeler (ubegrenset reise, Hyre, Bysykkel) for en kortere periode, men har en høyere månedskostnad.",,,,
gemini-2.5-pro-preview-03-25,persona+examples,daughter_social_events,True,"{'name': '30-day ticket', 'category': 'child', 'number_of_zones': 1}","{'name': '30-day ticket', 'category': 'child', 'number_of_zones': 1}","Hei! Siden datteren din er 13 år, faller hun inn under kategorien 'Barn' (6 til 19 år). For reiser 2-3 ganger i uken, og kanskje mer, i løpet av en måned, vil en 30-dagersbillett for barn være det mest gunstige alternativet. Vi antar her at reisene skjer innenfor én sone, noe som er vanlig for lokale fritidsaktiviteter. En slik billett koster 370 NOK og gir ubegrenset reise i den valgte sonen i 30 dager.

Å kjøpe enkeltbilletter for barn til 22 NOK per tur vil koste mellom 352 NOK (for 16 turer, tilsvarende 2 rundturer per uke) og 528 NOK (for 24 turer, tilsvarende 3 rundturer per uke). Siden du nevner at det kan bli mer reising, vil 30-dagersbilletten raskt lønne seg. Den gir forutsigbare kostnader og frihet til å reise så mye hun vil innenfor sonen, inkludert kvelder og helger. Billetten er også gyldig på nattbuss og nattrikk.

Et alternativ er å kjøpe enkeltbilletter eller et klippekort (som koster det samme per tur som enkeltbillett, 220 NOK for 10 turer). Dette kan være litt billigere *kun* hvis hun reiser nøyaktig 16 turer eller færre i måneden. Men med usikkerheten rundt antall reiser og den lille prisforskjellen, gir 30-dagersbilletten best verdi og mest fleksibilitet.

Et lite tips: Hvis reisene skjer innenfor sone A (Trondheim-området), kan billetten også brukes på trikk og tog. God tur til datteren din!",,,,
gemini-2.5-pro-preview-03-25,persona+examples,youth_student,True,"{'name': '180-day ticket', 'category': 'child', 'number_of_zones': 1}","{'name': '180-day ticket', 'category': 'child', 'number_of_zones': 1}","Hei! Velkommen som student i Trondheim. Siden du er 18 år gammel, faller du inn under kategorien 'Barn', som gjelder fra 6 til og med 19 år. Dette er ofte den rimeligste kategorien for deg.

Basert på at du skal reise 4 dager i uken fast, pluss ekstra reising under fadderuken, vil en periodebillett være det mest lønnsomme. Jeg anbefaler **180-dagersbilletten for barn** for én sone. Den koster 1850 kr totalt, noe som tilsvarer ca. 308 kr per måned. Dette er den billigste løsningen per måned for deg som reiser såpass ofte.

Denne billetten gir deg ubegrenset reise innenfor din sone, og den er også gyldig på nattbussen, noe som er praktisk under fadderuken. I tillegg inkluderer alle periodebilletter (unntatt for voksne) tilgang til nattbuss, samt fordeler som gratis bruk av Trondheim Bysykkel og to timer gratis leiebil fra Hyre hver måned. Billetten er gyldig for hele reisen så lenge den er gyldig når du går om bord. Reiser du innenfor sone A, kan billetten også brukes på trikk og tog.

Et alternativ er **30-dagersbilletten for barn**. Den koster 370 kr for én sone. Dette kan være et godt alternativ hvis du ønsker mer fleksibilitet i starten og ikke vil binde deg for 180 dager med en gang. Den inkluderer også nattbuss og de samme fordelene som 180-dagersbilletten, men er litt dyrere per måned.

Selv om du er student, er barnebilletten rimeligere for deg i én sone enn studentbilletten (som koster 555 kr for 30 dager eller 2775 kr for 180 dager). Du trenger ikke studentbevis for barnebillett, men husk å ha med legitimasjon som viser alderen din i tilfelle kontroll. Lykke til med studiestart og fadderuke!",,,,
gemini-2.5-pro-preview-03-25,persona+examples,youth_student,False,"{'name': '180-day ticket', 'category': 'child', 'number_of_zones': 1}","{'name': '30-day ticket', 'category': 'child', 'number_of_zones': 1}","Hei! Velkommen som student i Trondheim! Siden du er 18 år gammel, faller du inn under kategorien 'Barn', som gjelder for alderen 6 til og med 19 år. Selv om du er student, er barnebilletten det rimeligste alternativet for deg når du kun reiser innenfor én sone.

Med reise til og fra campus 4 dager i uken, pluss ekstra reising under Fadderuka, vil en periodebillett være mye rimeligere enn enkeltbilletter. En enkeltbillett for barn koster 22 NOK per tur. Med minst 8 turer i uken (tur/retur 4 dager), pluss ekstraturer, ville kostnaden fort oversteget prisen på en månedsbillett.

Jeg anbefaler derfor **30-dagersbilletten for barn** for 1 sone. Den koster 370 NOK og gir deg ubegrenset reise med buss innenfor sonen din i 30 dager. Denne billetten er også gyldig på nattbussen, noe som er praktisk under Fadderuka. Billetten inkluderer også tilgang til Trondheim Bysykkel og to timer gratis bruk av Hyre leiebil hver måned.

Et alternativ for fremtiden, hvis du ser at du kommer til å reise slik over lengre tid, er **180-dagersbilletten for barn**. Den koster 1850 NOK, som tilsvarer ca. 308 NOK per måned, og er dermed enda rimeligere per måned. Men 30-dagersbilletten er en fin måte å starte på for å se an reisebehovet ditt.

**Viktig å huske:** Siden du bruker barnebillett, kan du bli bedt om å vise legitimasjon som bekrefter alderen din ved en billettkontroll. Billetten er gyldig på både buss og trikk (og tog i sone A) så lenge den er aktivert før du går om bord. Lykke til med studiestart og Fadderuka!",,,,
